yearID,name,teamID,franchID,W,L,H,HR,BB,SO,SB,CS,ERA,SOA,salary
1990,Boston Red Sox,BOS,BOS,88,74,1502,106,598.0,795.0,53.0,52.0,3.72,997,20558333
1990,California Angels,CAL,ANA,80,82,1448,147,566.0,1000.0,69.0,43.0,3.79,944,21720000
1990,Chicago White Sox,CHA,CHW,94,68,1393,106,478.0,903.0,140.0,90.0,3.61,914,9491500
1990,Chicago Cubs,CHN,CHC,77,85,1474,136,406.0,869.0,151.0,50.0,4.34,877,13624000
1990,Cincinnati Reds,CIN,CIN,91,71,1466,125,466.0,913.0,166.0,66.0,3.39,1029,14370000
1990,Cleveland Indians,CLE,CLE,77,85,1465,110,458.0,836.0,107.0,52.0,4.26,860,14487000
1990,Detroit Tigers,DET,DET,79,83,1418,172,634.0,952.0,82.0,57.0,4.39,856,17593238
1990,Houston Astros,HOU,HOU,75,87,1301,94,548.0,997.0,179.0,83.0,3.61,854,18330000
1990,Kansas City Royals,KCA,KCR,75,86,1465,100,498.0,879.0,107.0,62.0,3.93,1006,23361084
1990,Los Angeles Dodgers,LAN,LAD,86,76,1436,129,538.0,952.0,141.0,65.0,3.72,1021,21318704
1990,Minnesota Twins,MIN,MIN,74,88,1458,100,445.0,749.0,96.0,53.0,4.12,872,14602000
1990,Milwaukee Brewers,ML4,MIL,74,88,1408,128,519.0,821.0,164.0,72.0,4.08,771,19719167
1990,Montreal Expos,MON,WSN,85,77,1363,114,576.0,1024.0,235.0,99.0,3.37,991,16586388
1990,New York Yankees,NYA,NYY,67,95,1322,147,427.0,1027.0,119.0,45.0,4.21,909,20912318
1990,New York Mets,NYN,NYM,91,71,1410,172,536.0,851.0,110.0,33.0,3.43,1217,21722834
1990,Oakland Athletics,OAK,OAK,103,59,1379,164,651.0,992.0,141.0,54.0,3.18,831,19887501
1990,Philadelphia Phillies,PHI,PHI,77,85,1410,103,582.0,915.0,108.0,35.0,4.07,840,13173667
1990,Pittsburgh Pirates,PIT,PIT,95,67,1395,138,582.0,914.0,137.0,52.0,3.4,848,15556000
1990,San Diego Padres,SDN,SDP,75,87,1429,123,509.0,902.0,138.0,59.0,3.68,928,17588334
1990,Seattle Mariners,SEA,SEA,77,85,1419,107,596.0,749.0,105.0,51.0,3.69,1064,12553667
1990,San Francisco Giants,SFN,SFG,85,77,1459,152,488.0,973.0,109.0,56.0,4.08,788,19335333
1990,St. Louis Cardinals,SLN,STL,70,92,1398,73,517.0,844.0,221.0,74.0,3.87,833,20523334
1990,Texas Rangers,TEX,TEX,83,79,1416,110,575.0,1054.0,115.0,48.0,3.83,997,14874372
1990,Toronto Blue Jays,TOR,TOR,86,76,1479,167,526.0,970.0,111.0,52.0,3.84,892,17756834
1991,Atlanta Braves,ATL,ATL,94,68,1407,141,563.0,906.0,165.0,76.0,3.49,969,18403500
1991,Baltimore Orioles,BAL,BAL,67,95,1421,170,528.0,974.0,50.0,33.0,4.59,868,17519000
1991,Boston Red Sox,BOS,BOS,84,78,1486,126,593.0,820.0,59.0,39.0,4.01,999,35167500
1991,California Angels,CAL,ANA,81,81,1396,115,448.0,928.0,94.0,56.0,3.69,990,33060001
1991,Chicago White Sox,CHA,CHW,87,75,1464,139,610.0,896.0,134.0,74.0,3.79,923,16919667
1991,Chicago Cubs,CHN,CHC,77,83,1395,159,442.0,879.0,123.0,64.0,4.03,927,23175667
1991,Cincinnati Reds,CIN,CIN,74,88,1419,164,488.0,1006.0,124.0,56.0,3.83,997,26305333
1991,Cleveland Indians,CLE,CLE,57,105,1390,79,449.0,888.0,84.0,58.0,4.23,862,17635000
1991,Detroit Tigers,DET,DET,84,78,1372,209,699.0,1185.0,109.0,47.0,4.51,739,23838333
1991,Houston Astros,HOU,HOU,65,97,1345,79,502.0,1027.0,125.0,68.0,4.0,1033,12852500
1991,Kansas City Royals,KCA,KCR,82,80,1475,117,523.0,969.0,119.0,68.0,3.92,1004,26319834
1991,Los Angeles Dodgers,LAN,LAD,93,69,1366,108,583.0,957.0,126.0,68.0,3.06,1028,32790664
1991,Minnesota Twins,MIN,MIN,95,67,1557,140,526.0,747.0,107.0,68.0,3.69,876,23361833
1991,Milwaukee Brewers,ML4,MIL,83,79,1523,116,556.0,802.0,106.0,68.0,4.14,859,23115500
1991,Montreal Expos,MON,WSN,71,90,1329,95,484.0,1056.0,221.0,100.0,3.64,909,10732333
1991,New York Yankees,NYA,NYY,71,91,1418,147,473.0,861.0,109.0,36.0,4.42,936,27344168
1991,New York Mets,NYN,NYM,77,84,1305,117,578.0,789.0,153.0,70.0,3.56,1028,32590001
1991,Oakland Athletics,OAK,OAK,84,78,1342,159,642.0,981.0,151.0,64.0,4.57,892,36999167
1991,Philadelphia Phillies,PHI,PHI,78,84,1332,111,490.0,1026.0,92.0,30.0,3.86,988,22487332
1991,Pittsburgh Pirates,PIT,PIT,98,64,1433,126,620.0,901.0,124.0,46.0,3.44,919,23634667
1991,San Diego Padres,SDN,SDP,84,78,1321,121,501.0,1069.0,101.0,64.0,3.57,921,22150001
1991,Seattle Mariners,SEA,SEA,83,79,1400,126,588.0,811.0,97.0,44.0,3.79,1003,15691833
1991,San Francisco Giants,SFN,SFG,75,87,1345,141,471.0,973.0,95.0,57.0,4.03,905,30967666
1991,St. Louis Cardinals,SLN,STL,84,78,1366,68,532.0,857.0,202.0,110.0,3.69,822,21860001
1991,Texas Rangers,TEX,TEX,85,77,1539,177,596.0,1039.0,102.0,50.0,4.47,1022,18224500
1991,Toronto Blue Jays,TOR,TOR,91,71,1412,133,499.0,1043.0,148.0,53.0,3.5,971,19902417
1992,Atlanta Braves,ATL,ATL,98,64,1391,138,493.0,924.0,126.0,60.0,3.14,948,34625333
1992,Baltimore Orioles,BAL,BAL,89,73,1423,148,647.0,827.0,89.0,48.0,3.79,846,23780667
1992,Boston Red Sox,BOS,BOS,73,89,1343,84,591.0,865.0,44.0,48.0,3.58,943,43610584
1992,California Angels,CAL,ANA,72,90,1306,88,416.0,882.0,160.0,101.0,3.84,888,34749334
1992,Chicago White Sox,CHA,CHW,86,76,1434,110,622.0,784.0,160.0,57.0,3.82,810,30160833
1992,Chicago Cubs,CHN,CHC,78,84,1420,104,417.0,816.0,77.0,51.0,3.39,901,29829686
1992,Cincinnati Reds,CIN,CIN,90,72,1418,99,563.0,888.0,125.0,65.0,3.46,1060,35931499
1992,Cleveland Indians,CLE,CLE,76,86,1495,127,448.0,885.0,144.0,67.0,4.11,890,9373044
1992,Detroit Tigers,DET,DET,75,87,1411,182,675.0,1055.0,66.0,45.0,4.6,693,27322834
1992,Houston Astros,HOU,HOU,81,81,1350,96,506.0,1025.0,139.0,54.0,3.72,978,15407500
1992,Kansas City Royals,KCA,KCR,72,90,1411,75,439.0,741.0,131.0,71.0,3.81,834,33893834
1992,Los Angeles Dodgers,LAN,LAD,63,99,1333,72,503.0,899.0,142.0,78.0,3.41,981,44788166
1992,Minnesota Twins,MIN,MIN,90,72,1544,104,527.0,834.0,123.0,74.0,3.7,923,28027834
1992,Milwaukee Brewers,ML4,MIL,92,70,1477,82,511.0,779.0,256.0,115.0,3.43,793,31013667
1992,Montreal Expos,MON,WSN,87,75,1381,102,463.0,976.0,196.0,63.0,3.25,1014,15822334
1992,New York Yankees,NYA,NYY,76,86,1462,163,536.0,903.0,78.0,37.0,4.21,851,37543334
1992,New York Mets,NYN,NYM,72,90,1254,93,572.0,956.0,129.0,52.0,3.66,1025,44602002
1992,Oakland Athletics,OAK,OAK,96,66,1389,142,707.0,831.0,143.0,59.0,3.73,843,41035000
1992,Philadelphia Phillies,PHI,PHI,70,92,1392,118,509.0,1059.0,127.0,31.0,4.11,851,24383834
1992,Pittsburgh Pirates,PIT,PIT,96,66,1409,106,569.0,872.0,110.0,53.0,3.35,844,33944167
1992,San Diego Padres,SDN,SDP,82,80,1396,135,453.0,864.0,69.0,52.0,3.56,971,26854167
1992,Seattle Mariners,SEA,SEA,64,98,1466,149,474.0,841.0,100.0,55.0,4.55,894,23179833
1992,San Francisco Giants,SFN,SFG,72,90,1330,105,435.0,1067.0,112.0,64.0,3.61,927,33163168
1992,St. Louis Cardinals,SLN,STL,83,79,1464,94,495.0,996.0,208.0,118.0,3.38,842,27583836
1992,Texas Rangers,TEX,TEX,77,85,1387,159,550.0,1036.0,81.0,44.0,4.09,1034,30128167
1992,Toronto Blue Jays,TOR,TOR,96,66,1458,163,561.0,933.0,129.0,39.0,3.91,954,44788666
1993,Atlanta Braves,ATL,ATL,104,58,1444,169,560.0,946.0,125.0,48.0,3.14,1036,41641417
1993,Baltimore Orioles,BAL,BAL,85,77,1470,157,655.0,930.0,73.0,54.0,4.31,900,29096500
1993,Boston Red Sox,BOS,BOS,80,82,1451,114,508.0,871.0,73.0,38.0,3.77,997,37120583
1993,California Angels,CAL,ANA,71,91,1399,114,564.0,930.0,169.0,100.0,4.34,843,28588334
1993,Chicago White Sox,CHA,CHW,94,68,1454,162,604.0,834.0,106.0,57.0,3.7,974,39696166
1993,Chicago Cubs,CHN,CHC,84,78,1521,161,446.0,923.0,100.0,43.0,4.18,905,39386666
1993,Cincinnati Reds,CIN,CIN,73,89,1457,137,485.0,1025.0,142.0,59.0,4.51,996,44879666
1993,Cleveland Indians,CLE,CLE,76,86,1547,141,488.0,843.0,159.0,55.0,4.58,888,18561000
1993,Colorado Rockies,COL,COL,67,95,1507,142,388.0,944.0,146.0,90.0,5.41,913,10353500
1993,Detroit Tigers,DET,DET,85,77,1546,178,765.0,1122.0,104.0,63.0,4.65,828,38150165
1993,Florida Marlins,FLO,FLA,64,98,1356,94,498.0,1054.0,117.0,56.0,4.13,945,19330545
1993,Houston Astros,HOU,HOU,85,77,1459,138,497.0,911.0,103.0,60.0,3.49,1056,30210500
1993,Kansas City Royals,KCA,KCR,84,78,1455,125,428.0,936.0,100.0,75.0,4.04,985,41346167
1993,Los Angeles Dodgers,LAN,LAD,81,81,1458,130,492.0,937.0,126.0,61.0,3.5,1043,39331999
1993,Minnesota Twins,MIN,MIN,71,91,1480,121,493.0,850.0,83.0,59.0,4.71,901,28217933
1993,Milwaukee Brewers,ML4,MIL,69,93,1426,125,555.0,932.0,138.0,93.0,4.45,810,23806834
1993,Montreal Expos,MON,WSN,94,68,1410,122,542.0,860.0,228.0,56.0,3.55,934,18899333
1993,New York Yankees,NYA,NYY,88,74,1568,178,629.0,910.0,39.0,35.0,4.35,899,42624900
1993,New York Mets,NYN,NYM,59,103,1350,158,448.0,879.0,79.0,50.0,4.05,867,39043667
1993,Oakland Athletics,OAK,OAK,68,94,1408,158,622.0,1048.0,131.0,59.0,4.9,864,37812333
1993,Philadelphia Phillies,PHI,PHI,97,65,1555,156,665.0,1049.0,91.0,32.0,3.95,1117,28538334
1993,Pittsburgh Pirates,PIT,PIT,75,87,1482,110,536.0,972.0,92.0,55.0,4.77,832,24822467
1993,San Diego Padres,SDN,SDP,61,101,1386,153,443.0,1046.0,92.0,41.0,4.23,957,25511333
1993,Seattle Mariners,SEA,SEA,82,80,1429,161,624.0,901.0,91.0,68.0,4.2,1083,32696333
1993,San Francisco Giants,SFN,SFG,103,59,1534,168,516.0,930.0,120.0,65.0,3.61,982,35050000
1993,St. Louis Cardinals,SLN,STL,87,75,1508,118,588.0,882.0,153.0,72.0,4.09,775,23367334
1993,Texas Rangers,TEX,TEX,86,76,1472,181,483.0,984.0,113.0,67.0,4.28,957,36376959
1993,Toronto Blue Jays,TOR,TOR,95,67,1556,159,588.0,861.0,170.0,49.0,4.21,1023,47279166
1994,Atlanta Braves,ATL,ATL,68,46,1031,137,377.0,668.0,48.0,31.0,3.57,865,49383513
1994,Baltimore Orioles,BAL,BAL,63,49,1047,139,438.0,655.0,69.0,13.0,4.31,666,38849769
1994,Boston Red Sox,BOS,BOS,54,61,1038,120,404.0,723.0,81.0,38.0,4.93,729,37859084
1994,California Angels,CAL,ANA,47,68,1042,120,402.0,715.0,65.0,54.0,5.42,682,25156218
1994,Chicago White Sox,CHA,CHW,67,46,1133,121,497.0,568.0,77.0,27.0,3.96,754,39183836
1994,Chicago Cubs,CHN,CHC,49,64,1015,109,364.0,750.0,69.0,53.0,4.47,717,36287333
1994,Cincinnati Reds,CIN,CIN,66,48,1142,124,388.0,738.0,119.0,51.0,3.78,799,40961833
1994,Cleveland Indians,CLE,CLE,66,47,1165,167,382.0,629.0,131.0,48.0,4.36,666,30490500
1994,Colorado Rockies,COL,COL,53,64,1098,125,378.0,761.0,91.0,53.0,5.15,703,23887333
1994,Detroit Tigers,DET,DET,53,62,1048,161,520.0,897.0,46.0,33.0,5.38,560,41446501
1994,Florida Marlins,FLO,FLA,51,64,1043,94,349.0,746.0,65.0,26.0,4.5,649,21633000
1994,Houston Astros,HOU,HOU,66,49,1099,120,394.0,718.0,124.0,44.0,3.97,739,33126000
1994,Kansas City Royals,KCA,KCR,64,51,1051,100,376.0,698.0,140.0,62.0,4.23,717,40541334
